ticker,price,adv_usd
A,131.5,288426216.3822495
AA,43.34000015258789,334653499.0206068
AAL,14.954999923706055,2534930733.4769907
AAOI,104.91500091552734,1308942531.673579
AAON,103.25,110550363.3210556
AAP,51.66999816894531,100728817.10472107
AAPL,326.57000732421875,19214549533.154057
ABBV,254.55999755859375,2281331077.320157
ABCL,5.994999885559082,54705193.180157945
ABNB,145.14500427246094,510367651.45500183
ABSI,8.199999809265137,77324689.26255146
ABT,101.41000366210938,1225599812.4636292
ABVX,134.35000610351562,283871053.2844467
ACA,144.75999450683594,181464919.4779648
ACGL,102.05999755859375,173074225.0666092
ACHC,34.005001068115234,106043060.56078835
ACI,15.104999542236328,97155155.06731224
ACIW,57.47999954223633,62503921.56283245
ACLS,130.32000732421875,97430140.83190003
ACM,67.48999786376953,118551506.51979485
ACMR,83.22000122070312,163395016.36831206
ACN,140.94000244140625,1549963423.0222716
ADBE,228.8800048828125,1292696517.1050415
ADC,81.33000183105469,79465684.70787887
ADI,376.345703125,1857329697.8670044
ADM,85.61000061035156,251113210.287957
ADP,253.63999938964844,603169377.3991028
ADPT,21.75,63279835.6623703
ADSK,213.24000549316406,518717149.0469902
ADT,6.925000190734863,55537074.27506991
AEE,112.1050033569336,210008303.61043662
AEHR,76.83999633789062,226381334.33535004
AEIS,282.5249938964844,314002105.28549653
AEM,136.4199981689453,385350878.6860138
AEO,17.17140007019043,77521246.54441842
AEP,132.66000366210938,718810745.0208801
AER,148.55999755859375,152931519.85221863
AES,14.824999809265137,124847176.56748065
AFG,142.1699981689453,66537371.246978
AFL,124.81999969482422,256480785.7806858
AFRM,76.1500015258789,316656548.6027004
AG,15.725000381469727,167067629.5922923
AGCO,113.18000030517578,76284249.04820251
AGEN,5.039999961853027,60848340.63851795
AGI,28.040000915527344,154875430.56863174
AGNC,11.024999618530273,177281461.12332344
AGQ,61.650001525878906,160376588.9516304
AGX,594.47998046875,234720371.70544434
AHR,57.11000061035156,228717073.47764206
AIG,80.12999725341797,335831082.1258453
AIR,136.67999267578125,68321524.81742859
AIT,336.1400146484375,98762204.80984497
AIZ,276.739990234375,93896280.25540161
AJG,251.8300018310547,431976670.218866
AKAM,120.26000213623047,443261143.09507024
ALAB,312.79998779296875,1974013330.2700958
ALB,117.80500030517578,295787554.36964834
ALC,69.66500091552734,138633238.33122215
ALGM,47.57500076293945,211794154.2654751
